type,y,date,time,action,name,price,qty,amount,is_buy,is_sell,is_ipo,is_bank,weekday
trade,11164.166666666666,2026-05-20,09:45,证券卖出,香农芯创,188.4,100.0,18825.14,False,True,False,False,Wednesday
trade,11121.166666666666,2026-05-20,09:46,证券买入,星宸科技,94.07,200.0,-18819.5,True,False,False,False,Wednesday
trade,11078.166666666666,2026-05-21,14:18,证券卖出,星宸科技,89.7,400.0,35857.22,False,True,False,False,Thursday
trade,11036.5,2026-05-22,,银行转取,,,,-3240.0,False,False,False,True,Friday
trade,10992.5,2026-05-22,10:59,证券买入,香农芯创,184.04,100.0,-18409.15,True,False,False,False,Friday
trade,10949.5,2026-05-22,13:02,证券买入,弘信电子,48.76,100.0,-4881.15,True,False,False,False,Friday
trade,10906.833333333334,2026-05-22,13:30,证券买入,比亚迪,93.72,100.0,-9377.15,True,False,False,False,Friday
trade,10863.5,2026-05-25,09:47,证券卖出,弘信电子,50.08,100.0,5000.7,False,True,False,False,Monday
trade,10820.833333333334,2026-05-25,09:49,证券卖出,香农芯创,189.75,100.0,18960.14,False,True,False,False,Monday
trade,10778.166666666666,2026-05-25,09:53,证券买入,比亚迪,96.3,200.0,-19265.15,True,False,False,False,Monday
trade,10734.833333333334,2026-05-26,09:52,证券卖出,比亚迪,95.96,300.0,28768.19,False,True,False,False,Tuesday
trade,10691.833333333334,2026-05-26,09:57,证券买入,光库科技,256.41,100.0,-25646.15,True,False,False,False,Tuesday
trade,10648.833333333334,2026-05-26,10:06,证券买入,贵广网络,9.68,800.0,-7749.15,True,False,False,False,Tuesday
trade,10605.833333333334,2026-05-27,11:12,证券卖出,光库科技,269.51,100.0,26932.18,False,True,False,False,Wednesday
trade,10562.833333333334,2026-05-27,11:18,证券买入,铜冠铜箔,101.26,200.0,-20257.5,True,False,False,False,Wednesday
trade,10520.166666666666,2026-05-27,11:21,证券买入,贵广网络,9.54,700.0,-6683.15,True,False,False,False,Wednesday
trade,10435.0,2026-05-28,10:56,证券买入,立讯精密,70.65,300.0,-21200.5,True,False,False,False,Thursday
trade,10478.166666666666,2026-05-28,10:50,证券卖出,铜冠铜箔,109.98,200.0,21980.11,False,True,False,False,Thursday
trade,10391.833333333334,2026-05-29,13:57,证券卖出,立讯精密,74.04,300.0,22195.16,False,True,False,False,Friday
trade,10349.333333333334,2026-05-29,13:57,证券卖出,贵广网络,9.15,1500.0,13713.11,False,True,False,False,Friday
trade,10304.5,2026-05-29,14:06,证券买入,方正科技,13.24,1300.0,-17217.15,True,False,False,False,Friday
trade,10263.166666666666,2026-05-29,14:09,证券买入,香农芯创,179.02,100.0,-17907.15,True,False,False,False,Friday
trade,10220.0,2026-05-29,21:23,申购配号,高特电子,0.0,5.0,0.0,False,False,True,False,Friday
trade,10139.333333333334,2026-06-01,11:17,证券卖出,香农芯创,171.1,100.0,17096.13,False,True,False,False,Monday
trade,10095.666666666666,2026-06-01,11:18,证券买入,方正科技,12.37,1500.0,-18560.51,True,False,False,False,Monday
trade,10053.166666666666,2026-06-01,21:21,申购配号,盛德发债,0.0,1000.0,0.0,False,False,True,False,Monday
trade,10010.666666666666,2026-06-02,21:01,申购配号,通合发债,0.0,1000.0,0.0,False,False,True,False,Tuesday
trade,9967.5,2026-06-03,14:18,证券卖出,方正科技,12.37,2800.0,34613.22,False,True,False,False,Wednesday
trade,9925.0,2026-06-03,14:25,证券买入,铜冠铜箔,104.0,300.0,-31205.51,True,False,False,False,Wednesday
trade,9666.833333333334,2026-06-04,20:55,申购配号,迪威配号,0.0,1000.0,0.0,False,False,True,False,Thursday
trade,9752.5,2026-06-04,14:09,证券买入,华锡有色,65.02,200.0,-13009.51,True,False,False,False,Thursday
trade,9839.333333333334,2026-06-04,14:08,证券卖出,铜冠铜箔,107.0,300.0,32078.21,False,True,False,False,Thursday
trade,9881.833333333334,2026-06-04,10:17,证券买入,TCL科技,4.82,700.0,-3379.15,True,False,False,False,Thursday
trade,9795.5,2026-06-04,14:08,证券买入,火炬电子,64.55,,-12915.5,True,False,False,False,Thursday
trade,9624.333333333334,2026-06-05,09:31,证券买入,华锡有色,60.55,100.0,-6060.15,True,False,False,False,Friday
trade,9581.333333333334,2026-06-05,09:34,证券卖出,TCL科技,4.92,700.0,3437.6,False,True,False,False,Friday
trade,9538.166666666666,2026-06-05,14:29,证券卖出,XD火炬电,62.96,200.0,12580.11,False,True,False,False,Friday
trade,9495.0,2026-06-05,14:35,证券买入,华锡有色,59.67,200.0,-11939.15,True,False,False,False,Friday
trade,9410.0,2026-06-08,,银行转取,,,,-1349.0,False,False,False,True,Monday
trade,9366.166666666666,2026-06-08,09:25,证券卖出,华锡有色,55.0,500.0,27481.18,False,True,False,False,Monday
trade,9323.666666666666,2026-06-08,10:19,证券买入,光库科技,305.07,100.0,-30512.5,True,False,False,False,Monday
trade,9280.5,2026-06-08,21:11,申购配号,翔26配号,0.0,1000.0,0.0,False,False,True,False,Monday
trade,9238.166666666666,2026-06-10,21:22,申购配号,春风配号,0.0,1000.0,0.0,False,False,True,False,Wednesday
